0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.265000000000000036e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.530000000000000071e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.795000000000000284e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.060000000000000142e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.325000000000000000e+01 3.000000000000000000e+00 0.000000000000000000e+00
7.590000000000000568e+01 9.000000000000000000e+00 1.000000000000000000e+00
8.854999999999999716e+01 1.980000000000000000e+02 9.500000000000000000e+01
1.012000000000000028e+02 1.700000000000000000e+01 7.000000000000000000e+00
1.138500000000000085e+02 8.000000000000000000e+00 0.000000000000000000e+00
1.265000000000000000e+02 5.000000000000000000e+00 0.000000000000000000e+00
1.391500000000000057e+02 5.000000000000000000e+00 0.000000000000000000e+00
1.518000000000000114e+02 5.000000000000000000e+00 0.000000000000000000e+00
1.644500000000000171e+02 3.000000000000000000e+00 0.000000000000000000e+00
1.770999999999999943e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.897500000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.024000000000000057e+02 4.000000000000000000e+00 0.000000000000000000e+00
2.150500000000000114e+02 3.000000000000000000e+00 0.000000000000000000e+00
2.277000000000000171e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.403499999999999943e+02 6.000000000000000000e+00 0.000000000000000000e+00
